18/09/2023 8:36:48 p. m.	Este registro contiene información acerca de la operación de importación de esquema en el proyecto 'Esquema STA' del equipo 'DESKTOP-4J5O50P' por el usuario 'Juan Carlos'.
18/09/2023 8:36:49 p. m.	Se inició la importación del esquema de la base de datos.
18/09/2023 8:36:55 p. m.	Recopilando credenciales de la base de datos
18/09/2023 8:36:55 p. m.	Recopilando opciones de base de datos
18/09/2023 8:36:55 p. m.	Recopilando la opción de configuración de ámbito de la base de datos genérica
18/09/2023 8:36:55 p. m.	Recopilando usuarios
18/09/2023 8:36:55 p. m.	Recopilando roles
18/09/2023 8:36:55 p. m.	Recopilando roles de aplicación
18/09/2023 8:36:55 p. m.	Recopilando pertenencias a roles
18/09/2023 8:36:55 p. m.	Recopilando grupos de archivos
18/09/2023 8:36:55 p. m.	Recopilando catálogos de texto completo
18/09/2023 8:36:55 p. m.	Recopilando ensamblados
18/09/2023 8:36:55 p. m.	Recopilando certificados
18/09/2023 8:36:55 p. m.	Recopilando claves asimétricas
18/09/2023 8:36:55 p. m.	Recopilando claves simétricas
18/09/2023 8:36:55 p. m.	Recopilando claves simétricas cifradas
18/09/2023 8:36:55 p. m.	Recopilando esquemas
18/09/2023 8:36:55 p. m.	Recopilando colecciones de esquemas XML
18/09/2023 8:36:55 p. m.	Recopilando tipos de datos definidos por el usuario
18/09/2023 8:36:55 p. m.	Recopilando tipos definidos por el usuario
18/09/2023 8:36:55 p. m.	Recopilando tipos de tabla
18/09/2023 8:36:55 p. m.	Recopilando claves únicas para tipos de tabla
18/09/2023 8:36:55 p. m.	Recopilando claves principales para tipos de tabla
18/09/2023 8:36:55 p. m.	Recopilando índices para tipos de tablas
18/09/2023 8:36:56 p. m.	Recopilando restricciones CHECK para tipos de tabla
18/09/2023 8:36:56 p. m.	Recopilando restricciones DEFAULT para tipos de tabla
18/09/2023 8:36:56 p. m.	Recopilando funciones de partición
18/09/2023 8:36:56 p. m.	Recopilando esquemas de partición
18/09/2023 8:36:56 p. m.	Recopilando funciones
18/09/2023 8:36:56 p. m.	Recopilando funciones cifradas
18/09/2023 8:36:56 p. m.	Recopilando agregados
18/09/2023 8:36:56 p. m.	Recopilando procedimientos
18/09/2023 8:36:56 p. m.	Recopilando procedimientos cifrados
18/09/2023 8:36:56 p. m.	Recopilando tablas
18/09/2023 8:36:56 p. m.	Recopilando claves principales
18/09/2023 8:36:56 p. m.	Recopilando restricciones UNIQUE
18/09/2023 8:36:56 p. m.	Recopilando claves externas
18/09/2023 8:36:56 p. m.	Recopilando restricciones DEFAULT
18/09/2023 8:36:56 p. m.	Recopilando restricciones CHECK
18/09/2023 8:36:56 p. m.	Recopilando vistas
18/09/2023 8:36:56 p. m.	Recopilando vistas cifradas
18/09/2023 8:36:56 p. m.	Recopilando índices
18/09/2023 8:36:56 p. m.	Recopilando estadísticas
18/09/2023 8:36:56 p. m.	Recopilando listas de palabras irrelevantes de índices de texto completo
18/09/2023 8:36:56 p. m.	Recopilando listas de propiedades de búsqueda
18/09/2023 8:36:56 p. m.	Recopilando propiedades de búsqueda
18/09/2023 8:36:56 p. m.	Recopilando índices de texto completo
18/09/2023 8:36:56 p. m.	Recopilando índices de almacenamiento de columnas
18/09/2023 8:36:56 p. m.	Recopilando índices espaciales
18/09/2023 8:36:56 p. m.	Recopilando índices XML
18/09/2023 8:36:56 p. m.	Recopilando índices XML selectivos
18/09/2023 8:36:56 p. m.	Recopilando desencadenadores cifrados
18/09/2023 8:36:56 p. m.	Recopilando desencadenadores
18/09/2023 8:36:56 p. m.	Recopilando DDL triggers cifrados y de CLR
18/09/2023 8:36:56 p. m.	Recopilando DDL triggers
18/09/2023 8:36:56 p. m.	Creación de la restricción perimetral en curso
18/09/2023 8:36:56 p. m.	Recopilando sinónimos
18/09/2023 8:36:56 p. m.	Recopilando valores predeterminados
18/09/2023 8:36:56 p. m.	Recopilando enlaces UDDT de restricción de datos
18/09/2023 8:36:56 p. m.	Recopilando reglas
18/09/2023 8:36:56 p. m.	Recopilando enlaces UDDT de restricción de datos
18/09/2023 8:36:56 p. m.	Recopilando tipos de mensaje
18/09/2023 8:36:56 p. m.	Recopilando colas
18/09/2023 8:36:56 p. m.	Recopilando contratos
18/09/2023 8:36:56 p. m.	Recopilando servicios
18/09/2023 8:36:56 p. m.	Recopilando notificaciones de eventos
18/09/2023 8:36:56 p. m.	Recopilando enlaces de servicio remoto
18/09/2023 8:36:56 p. m.	Recopilando prioridades de Broker
18/09/2023 8:36:56 p. m.	Recopilando firmas
18/09/2023 8:36:56 p. m.	Recopilando opciones de compresión
18/09/2023 8:36:56 p. m.	Recopilando tipos de secuencia
18/09/2023 8:36:56 p. m.	Recopilando directivas de seguridad
